objectid,title,format,filename,date,subject,description
item1,Premier Borden reviewing Overseas Forces at Niagara Camp,image/jpeg,Borden_RG542.jpg,ca. 1915,Niagara Camp;Robert Borden;Overseas Forces,Premier Borden reviewing Overseas Forces at Niagara Camp
item2,Overseas Forces Niagara Training Camp,image/jpeg,Overseas_forces_RG542.jpg,ca. 1915,Niagara Camp;Overseas Forces,Overseas Forces Niagara Training Camp
item3,A detachment in Paradise Grove Niagara Camp,image/jpeg,Paradise_Grove_RG542.jpg,ca. 1915,Niagara Camp;Paradise Grove,A detachment in Paradise Grove Niagara Camp
item4,The 48th Highlanders Camp Niagara,image/jpeg,48th_Highlanders_RG562.jpg,1914,Niagara Camp;48th Highlanders,The 48th Highlanders Camp Niagara
item5,Overseas Forces resting at Niagara Camp,image/jpeg,Forces_resting_RG542.jpg,ca. 1915,Camp Niagara;Overseas Forces,Overseas Forces resting at Niagara Camp
item6,Fort George Hospital Niagara Camp,image/jpeg,Fort_George_Hospital_RG542.jpg,ca. 1915,Camp Niagara;Fort George Hospital,Fort George Hospital Niagara Camp
item7,Embarking for the Front,image/jpeg,Embarking_RG542.jpg,ca.1915,Niagara Camp,A draft for overseas embarking for the Front
item8,Battalion Camp at Fort Mississaugua,image/jpeg,Battalion_Camp_RG542.jpg,ca. 1915,Battalion Camp;Fort Mississaugua,Battalion Camp at Fort Mississaugua
item9,Machine Gun Squad at Niagara Camp,image/jpeg,Gun_Squad_RG542.jpg,ca. 1915,Machine Gun Squad;Niagara Camp,Machine Gun Squad at Niagara Camp
item10,Governor General and Headquarters staff Niagara Camp,image/jpeg,Governor_General_RG542.jpg,ca. 1915,Governor General;Niagara Camp;Headquarters Staff,Governor General and Headquarters staff Niagara Camp
item11,Red Cross train leaving Niagara Camp,image/jpeg,Red_Cross_RG542.jpg,ca.1915,Red Cross;Niagara Camp,Red Cross train leaving Niagara Camp
item12,A fair sample of Overseas Forces at Niagara Camp,image/jpeg,Overseas_forces2_RG542.jpg,ca. 1915,Overseas Forces;Niagara Camp,A fair sample of Overseas Forces at Niagara Camp
item13,Overseas Forces at Historic Niagara Camp,image/jpeg,Overseas_Forces3_RG542.jpg,ca. 1915,Overseas Forces;Niagara Camp,Overseas Forces at Historic Niagara Camp
item14,Overseas Forces resting at Niagara Camp,image/jpeg,Resting_Niagara_Camp_RG542.jpg,ca. 1915,Overseas Forces;Niagara Camp,Overseas Forces resting at Niagara Camp
item15,Overseas Forces leaving Niagara Camp,image/jpeg,Overseas_Forces_Leaving_RG542.jpg,ca. 1915,Overseas Forces;Niagara Camp,Overseas Forces leaving Niagara Camp
item16,Overseas Forces approaching Brock's Monument on Route March,image/jpeg,March_Brocks_Monument_RG542.jpg,ca. 1915,Overseas Forces;Route March,Overseas Forces approaching Brock's Monument on Route March
item17,Camp Niagara Army Service Corps Camp,image/jpeg,Camp_Niagara_RG373.jpg,,Niagara Camp,Camp Niagara Army Service Corps Camp
item18,Church Parade Niagara Camp,image/jpeg,Church_parade_RG373.jpg,,Church Parade;Niagara Camp,Church Parade Niagara Camp
item19,Military Camp Fort Mississauga Niagara-on-the-Lake,image/jpeg,Fort_Mississauga2_RG373.jpg,,Fort Mississauga;Niagara Camp,Military Camp Fort Mississauga Niagara-on-the-Lake
